<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.06	06:45:00	24370.90	24379.40	24357.80	24363.80	1422	0	100
2026.02.06	06:50:00	24363.80	24369.50	24342.70	24345.00	1510	0	100
2026.02.06	06:55:00	24344.90	24357.40	24330.30	24356.80	1622	0	100
2026.02.06	07:00:00	24356.90	24371.90	24336.30	24358.00	2052	0	100
2026.02.06	07:05:00	24358.00	24361.90	24341.40	24343.50	1764	0	100
2026.02.06	07:10:00	24342.50	24370.70	24334.00	24368.70	1800	0	100
2026.02.06	07:15:00	24368.50	24380.00	24357.90	24360.70	1574	0	100
2026.02.06	07:20:00	24360.80	24385.50	24357.80	24378.30	1613	0	100
2026.02.06	07:25:00	24378.80	24394.50	24367.80	24393.40	1421	0	100
2026.02.06	07:30:00	24393.40	24432.20	24390.50	24428.80	1597	0	100
2026.02.06	07:35:00	24429.20	24457.30	24428.70	24449.40	1610	0	100
2026.02.06	07:40:00	24450.20	24464.20	24446.90	24460.70	1428	0	100
2026.02.06	07:45:00	24460.50	24462.80	24447.40	24453.50	1149	0	100
2026.02.06	07:50:00	24453.30	24498.30	24453.20	24498.00	1513	0	100
2026.02.06	07:55:00	24498.00	24499.50	24483.30	24485.30	1400	0	100
2026.02.06	08:00:00	24485.20	24513.70	24480.20	24494.40	1577	0	100
2026.02.06	08:05:00	24494.30	24509.70	24485.40	24492.30	1346	0	100
2026.02.06	08:10:00	24492.20	24507.30	24487.70	24497.80	1270	0	100
2026.02.06	08:15:00	24497.50	24506.40	24485.40	24495.50	1255	0	100
2026.02.06	08:20:00	24496.80	24513.90	24493.00	24503.30	1186	0	100
2026.02.06	08:25:00	24503.40	24507.70	24484.30	24499.30	1168	0	100
2026.02.06	08:30:00	24499.90	24515.70	24484.70	24487.70	1465	0	100
2026.02.06	08:35:00	24487.40	24491.00	24459.40	24459.50	1324	0	100
2026.02.06	08:40:00	24459.70	24465.00	24450.70	24461.40	1084	0	100
2026.02.06	08:45:00	24460.80	24467.00	24447.80	24462.20	976	0	100
2026.02.06	08:50:00	24462.20	24464.20	24444.40	24458.30	1064	0	100
2026.02.06	08:55:00	24458.50	24462.40	24444.00	24450.30	816	0	100
2026.02.06	09:00:00	24450.50	24454.40	24417.20	24422.40	1694	0	100
2026.02.06	09:05:00	24423.00	24444.30	24422.00	24426.90	1292	0	100
2026.02.06	09:10:00	24427.00	24431.30	24410.30	24431.30	1162	0	100
2026.02.06	09:15:00	24431.30	24444.00	24425.00	24427.80	878	0	100
2026.02.06	09:20:00	24427.70	24464.00	24427.40	24443.20	1299	0	100
2026.02.06	09:25:00	24443.30	24480.00	24442.40	24474.20	1172	0	100
2026.02.06	09:30:00	24473.80	24478.40	24467.50	24478.30	1292	0	100
2026.02.06	09:35:00	24478.80	24481.40	24456.40	24462.30	1171	0	100
2026.02.06	09:40:00	24461.80	24462.90	24446.90	24449.00	1060	0	100
2026.02.06	09:45:00	24448.80	24460.30	24435.50	24449.00	1128	0	100
2026.02.06	09:50:00	24449.20	24456.00	24431.70	24449.30	1256	0	100
2026.02.06	09:55:00	24449.20	24460.70	24443.30	24460.00	1261	0	100
2026.02.06	10:00:00	24459.00	24464.90	24393.50	24423.70	2314	0	100
2026.02.06	10:05:00	24424.30	24464.80	24422.80	24464.50	2211	0	100
2026.02.06	10:10:00	24464.40	24493.50	24464.40	24475.70	2053	0	100
2026.02.06	10:15:00	24475.80	24492.90	24452.70	24460.30	2040	0	100
2026.02.06	10:20:00	24459.20	24485.70	24458.00	24471.20	1845	0	100
2026.02.06	10:25:00	24470.20	24487.20	24453.70	24453.80	1780	0	100
2026.02.06	10:30:00	24454.30	24470.30	24440.90	24444.30	1903	0	100
2026.02.06	10:35:00	24444.20	24462.00	24441.80	24457.50	1820	0	100
2026.02.06	10:40:00	24456.90	24492.20	24432.30	24471.20	1947	0	100
2026.02.06	10:45:00	24470.80	24472.30	24439.70	24469.30	1728	0	100
2026.02.06	10:50:00	24469.30	24508.90	24467.80	24482.40	1626	0	100
2026.02.06	10:55:00	24482.70	24497.20	24481.50	24486.80	1643	0	100
2026.02.06	11:00:00	24486.70	24492.70	24471.30	24478.30	2017	0	100
2026.02.06	11:05:00	24478.30	24529.20	24464.80	24527.00	1875	0	100
2026.02.06	11:10:00	24525.80	24562.50	24518.30	24559.90	1811	0	100
2026.02.06	11:15:00	24559.20	24575.80	24536.00	24559.30	1864	0	100
