datetime,open,high,low,close,volume
2022-08-17 09:40:00-04:00,14935.25,14939.25,14925.25,14935.25,1093
2022-08-17 09:45:00-04:00,14935.0,14939.5,14931.0,14936.0,798
2022-08-17 09:50:00-04:00,14936.25,14941.5,14935.0,14938.0,710
2022-08-17 09:55:00-04:00,14938.5,14940.75,14932.25,14940.0,513
2022-08-17 10:00:00-04:00,14939.5,14943.0,14934.5,14936.5,731
2022-08-17 10:05:00-04:00,14937.0,14951.5,14936.75,14947.5,1050
2022-08-17 10:10:00-04:00,14946.75,14951.75,14942.5,14950.25,821
2022-08-17 10:15:00-04:00,14950.25,14956.5,14941.5,14946.5,1227
2022-08-17 10:20:00-04:00,14946.5,14952.75,14942.25,14951.5,635
2022-08-17 10:25:00-04:00,14951.75,14953.75,14937.5,14938.5,1192
2022-08-17 10:30:00-04:00,14939.25,14943.75,14930.5,14942.75,1271
2022-08-17 10:35:00-04:00,14942.75,14950.75,14915.5,14936.25,4830
2022-08-17 10:40:00-04:00,14936.0,14954.75,14932.75,14948.75,2197
2022-08-17 10:45:00-04:00,14948.5,14964.25,14947.25,14951.25,2176
2022-08-17 10:50:00-04:00,14950.5,14955.75,14943.25,14955.25,1309
2022-08-17 10:55:00-04:00,14954.5,14958.25,14929.75,14931.5,2174
2022-08-17 11:00:00-04:00,14931.25,14936.5,14921.5,14930.5,2444
2022-08-17 11:05:00-04:00,14930.0,14934.5,14915.75,14928.25,2026
2022-08-17 11:10:00-04:00,14928.25,14944.5,14924.75,14941.5,1732
2022-08-17 11:15:00-04:00,14941.5,14945.5,14924.75,14933.25,2066
2022-08-17 11:20:00-04:00,14933.25,14936.25,14923.75,14932.0,1263
2022-08-17 11:25:00-04:00,14931.5,14941.75,14930.0,14940.0,1178
2022-08-17 11:30:00-04:00,14939.75,14939.75,14920.75,14927.0,2623
2022-08-18 09:30:00-04:00,14917.75,14919.75,14907.5,14908.25,373
2022-08-18 09:35:00-04:00,14909.0,14928.75,14906.75,14924.0,959
2022-08-18 09:40:00-04:00,14923.25,14932.0,14921.25,14929.75,665
2022-08-18 09:45:00-04:00,14930.5,14931.75,14922.0,14929.5,555
2022-08-18 09:50:00-04:00,14929.5,14934.0,14927.75,14931.0,572
2022-08-18 09:55:00-04:00,14930.75,14933.5,14925.75,14931.0,431
2022-08-18 10:00:00-04:00,14930.75,14941.0,14927.75,14940.5,700
2022-08-18 10:05:00-04:00,14940.75,14960.75,14937.75,14952.0,2626
2022-08-18 10:10:00-04:00,14952.0,14968.75,14950.75,14957.0,1805
2022-08-18 10:15:00-04:00,14957.25,14957.75,14943.5,14945.0,1180
2022-08-18 10:20:00-04:00,14944.25,14947.5,14934.75,14934.75,826
2022-08-18 10:25:00-04:00,14935.5,14942.5,14934.5,14941.5,965
